dataset,target,split,features,head,n_request,mean,std,count,n_train,sem
SAbDab_Chen,developability,cluster,cheap,mlp,200,0.7103351590862413,0.041075163111637406,20,200.0,0.009184685690451302
SAbDab_Chen,developability,cluster,cheap,mlp,25,0.5655457293355639,0.08662954073235674,20,25.0,0.019370954193713655
SAbDab_Chen,developability,cluster,cheap,mlp,50,0.6078712014936578,0.0649619253445813,20,50.0,0.014525928101975023
SAbDab_Chen,developability,cluster,cheap,mlp,500,0.7288118285264191,0.043395093949515254,20,500.0,0.009703437996110594
SAbDab_Chen,developability,cluster,cheap,mlp,all,0.7361682432260002,0.04656293744032869,20,1802.3,0.0104117893348645
SAbDab_Chen,developability,cluster,esm2,gbm,100,0.61930160442357,0.05909971034867842,20,100.0,0.013215096979019274
SAbDab_Chen,developability,cluster,esm2,gbm,1000,0.7603274935321591,0.04916535509801447,20,1000.0,0.01099370761370762
SAbDab_Chen,developability,cluster,esm2,gbm,200,0.6766571696926403,0.045253880777014234,20,200.0,0.010119075366307483
SAbDab_Chen,developability,cluster,esm2,gbm,25,0.5448747825069555,0.06930972140396746,20,25.0,0.015498124856084339
SAbDab_Chen,developability,cluster,esm2,gbm,50,0.5755979053008634,0.05078360566380097,20,50.0,0.01135555944068023
SAbDab_Chen,developability,cluster,esm2,gbm,500,0.7223749633139687,0.0347185257474646,20,500.0,0.007763298364990753
SAbDab_Chen,developability,cluster,esm2,gbm,all,0.7790646437082339,0.033396029548870776,20,1802.3,0.007467579224986668
SAbDab_Chen,developability,cluster,esm2,linear,100,0.6361085956997197,0.06508775984775463,20,100.0,0.01455406555227607
SAbDab_Chen,developability,cluster,esm2,linear,1000,0.7638706404108926,0.04161817923544934,20,1000.0,0.009306107787023494
SAbDab_Chen,developability,cluster,esm2,linear,200,0.6931560735975852,0.05167091266753227,20,200.0,0.011553967318405715
SAbDab_Chen,developability,cluster,esm2,linear,25,0.5434594525051323,0.07151892763529749,20,25.0,0.015992118387041347
SAbDab_Chen,developability,cluster,esm2,linear,50,0.584562934178112,0.06647971098507666,20,50.0,0.01486531528871709
SAbDab_Chen,developability,cluster,esm2,linear,500,0.7406503409650586,0.035507654235253636,20,500.0,0.007939752859158544
SAbDab_Chen,developability,cluster,esm2,linear,all,0.7823237376556146,0.03580355599684007,20,1802.3,0.008005918504515463
SAbDab_Chen,developability,cluster,esm2,mlp,100,0.6519643418081118,0.05804912977525509,20,100.0,0.012980180021217745
SAbDab_Chen,developability,cluster,esm2,mlp,1000,0.750300061937933,0.04821006650015163,20,1000.0,0.010780098589412443
SAbDab_Chen,developability,cluster,esm2,mlp,200,0.6959878463869493,0.05485720347235808,20,200.0,0.012266443601973017
SAbDab_Chen,developability,cluster,esm2,mlp,25,0.5518730275490364,0.06652292274377604,20,25.0,0.014874977731705005
SAbDab_Chen,developability,cluster,esm2,mlp,50,0.5863934875023649,0.053258094970708415,20,50.0,0.011908872070664368
SAbDab_Chen,developability,cluster,esm2,mlp,500,0.7276462023569111,0.0469740076472737,20,500.0,0.010503707427489895
SAbDab_Chen,developability,cluster,esm2,mlp,all,0.7625496833791938,0.04747863199029841,20,1802.3,0.010616544860900337
SAbDab_Chen,developability,cluster,esm2+cheap,gbm,100,0.6337237939907399,0.05394829264046739,20,100.0,0.01206320496141367
SAbDab_Chen,developability,cluster,esm2+cheap,gbm,1000,0.7755668949201775,0.04041239138988107,20,1000.0,0.009036485428110128
SAbDab_Chen,developability,cluster,esm2+cheap,gbm,200,0.6929044834585478,0.036632067957332676,20,200.0,0.008191179410898773
SAbDab_Chen,developability,cluster,esm2+cheap,gbm,25,0.5515943820339247,0.06536567670583955,20,25.0,0.014616209650953175
SAbDab_Chen,developability,cluster,esm2+cheap,gbm,50,0.5819495568721867,0.05067524547058251,20,50.0,0.01133132936487108
SAbDab_Chen,developability,cluster,esm2+cheap,gbm,500,0.7360151170414521,0.029160937990505204,20,500.0,0.006520583963442575
SAbDab_Chen,developability,cluster,esm2+cheap,gbm,all,0.7871146816279436,0.029165339552951156,20,1802.3,0.006521568182726211
SAbDab_Chen,developability,cluster,esm2+cheap,linear,100,0.6400342481079926,0.06509433756356811,20,100.0,0.014555536374245632
SAbDab_Chen,developability,cluster,esm2+cheap,linear,1000,0.7700914774529131,0.04178580872098693,20,1000.0,0.009343590879493031
SAbDab_Chen,developability,cluster,esm2+cheap,linear,200,0.696681732871768,0.051541717010299345,20,200.0,0.011525078291208656
SAbDab_Chen,developability,cluster,esm2+cheap,linear,25,0.5446169724632127,0.06964642950486599,20,25.0,0.015573415076302737
SAbDab_Chen,developability,cluster,esm2+cheap,linear,50,0.5843562204937562,0.06471359243040996,20,50.0,0.01447039917426125
SAbDab_Chen,developability,cluster,esm2+cheap,linear,500,0.7447766049304846,0.03478090175016453,20,500.0,0.007777246063210929
SAbDab_Chen,developability,cluster,esm2+cheap,linear,all,0.7894165885833515,0.03424000134398683,20,1802.3,0.007656297055483871
SAbDab_Chen,developability,cluster,esm2+cheap,mlp,100,0.6474198830790985,0.0646284512660998,20,100.0,0.014451361031153149
SAbDab_Chen,developability,cluster,esm2+cheap,mlp,1000,0.7603483334285799,0.04370263266582833,20,1000.0,0.009772205743649499
SAbDab_Chen,developability,cluster,esm2+cheap,mlp,200,0.69991400031963,0.055988932418208785,20,200.0,0.012519505887475652
SAbDab_Chen,developability,cluster,esm2+cheap,mlp,25,0.555544949609786,0.05827694158710892,20,25.0,0.013031120290956003
